"rank","name","usps","pop2022","pop2020","growth","density","aland_sqmi"
"99","Norfolk","VA","237045","238005","-0.0040","4449","53.2750"
"100","Fremont","CA","233788","230504","0.0142","3018","77.4650"
"101","Spokane","WA","233003","228989","0.0175","3389","68.7590"
"102","Richmond","VA","231090","226610","0.0198","3856","59.9230"
"103","Baton Rouge","LA","227066","227470","-0.0018","2627","86.4490"
"104","San Bernardino","CA","224537","222101","0.0110","3615","62.1080"
"105","Tacoma","WA","223536","219346","0.0191","4492","49.7590"
"106","Spring Valley","NV","223037","215597","0.0345","6707","33.2530"
"107","Hialeah","FL","222797","223109","-0.0014","10324","21.5810"
"108","Huntsville","AL","221986","215006","0.0325","1036","214.3630"
"109","Modesto","CA","221924","218464","0.0158","5164","42.9770"
"110","Frisco","TX","217213","200509","0.0833","3188","68.1250"
"111","Des Moines","IA","216273","214133","0.0100","2453","88.1800"
"112","Yonkers","NY","214687","211569","0.0147","11919","18.0120"
"113","Port St. Lucie","FL","212901","204851","0.0393","1786","119.2020"
"114","Moreno Valley","CA","211688","208634","0.0146","4130","51.2570"
"115","Worcester","MA","211612","206518","0.0247","5664","37.3600"
"116","Rochester","NY","211480","211328","0.0007","5913","35.7660"
"117","Fontana","CA","210857","208393","0.0118","4895","43.0720"
"118","Columbus","GA","210330","206922","0.0165","972","216.4790"
"119","Fayetteville","NC","210089","208501","0.0076","1421","147.8470"
"120","Sunrise Manor","NV","208868","205618","0.0158","6258","33.3760"
"121","McKinney","TX","208146","195308","0.0657","3109","66.9400"
"122","Little Rock","AR","204405","202591","0.0090","1703","119.9920"
"123","Augusta","GA","203329","202081","0.0062","673","302.2740"
"124","Oxnard","CA","202895","202063","0.0041","7648","26.5280"
"125","Salt Lake City","UT","202379","199723","0.0133","1828","110.6980"
"126","Amarillo","TX","202333","200393","0.0097","1989","101.7440"
"127","Overland Park","KS","202012","197238","0.0242","2687","75.1800"
"128","Cape Coral","FL","201958","194016","0.0409","1906","105.9480"
"129","Grand Rapids","MI","201093","198917","0.0109","4493","44.7560"
"130","Huntington Beach","CA","200455","198711","0.0088","7423","27.0030"
"131","Sioux Falls","SD","200243","192517","0.0401","2560","78.2290"
"132","Grand Prairie","TX","200240","196100","0.0211","2771","72.2550"
"133","Montgomery","AL","199571","200603","-0.0051","1248","159.8820"
"134","Tallahassee","FL","199127","196169","0.0151","1982","100.4740"
"135","Birmingham","AL","198433","200733","-0.0115","1358","146.0760"
"136","Peoria","AZ","198369","190985","0.0387","1127","175.9890"
"137","Glendale","CA","197507","196543","0.0049","6482","30.4710"
"138","Vancouver","WA","196739","190915","0.0305","4036","48.7440"
